id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105810563143947	,P2r9SdbSP,"其实细想下来，任何事情都没啥意义，但任何事情又有意义。
所以，想做的事就去试试吧，它一定没有你想的那么美好，但也不一定那么糟糕。
本来第一顺位是想去海南的，没兑到票天冷酒店也疯涨，无意捡漏了丽江的机票✈️
我在丽江已经呆了2天了，没有我想象的那么美好，但每天还是比较安逸的，不经意间总会有点小惊喜。
等我回归正常的生活，迎接我的大概率是狂风暴雨。但我不在乎，我想好好珍惜这来之不易的惬意生活。 
丽江",,"https://wx4.sinaimg.cn/large/007XWY3Vgy1hw2bbm2jfjj34eo3b0u0y.jpg,https://wx3.sinaimg.cn/large/007XWY3Vgy1hw2bbj9m06j34eo3b0kjn.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw2bbf6kebj34eo3b07wn.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw2bbqfxx6j34eo3b0kjq.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw2bbca06mj33b04eohdx.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw2bbywyjcj32c0340kjm.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000KJv5Bgx08jWSOSvhK0f0f0100djjy0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0009kQ67gx08jWSOuLwr0f0f0100kYW10k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0042tM9vgx08jWSO8hH10f0f0100gshP0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001zMW3Ygx08jWSPiemc0f0f0100eACM0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000c0C5Kgx08jWSPlAZG0f0f01006fZa0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004ohVmDgx08jWSQgbrG0f0f0100g7Fw0k01.mov,丽江,2024-11-28T22:19:22,iPhone 15,1,1,0,,,2024-11-28 22:19:22,True
5105775904821998	,P2qfYkeqa,"还是云南的过桥米线好吃 上海的没那个味儿，我感觉是米线的关系 
椰奶小糯的微博视频
 ",,,"https://f.video.weibocdn.com/u0/l8FfP6Iwgx08jWJr5IJ201041200edm10E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888409&ssig=WSpW7ecRcA&KID=unistore,video",,2024-11-28T20:01:39,iPhone 15,0,0,0,,,2024-11-28 20:01:39,True
5105728325682403	,P2p1enQfF,"本来心疼蓝月谷的牛🐮每天都要被人骑 现在才知道它做一休一 每年赚600W
原来牛马是我
 
丽江·蓝月湖
 ",,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw21thvg39j32c03407wj.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004ogk9sgx08jWwesWKr0f0f0100h1YP0k01.mov,丽江·蓝月湖,2024-11-28T16:52:35,iPhone 15,1,5,0,,,2024-11-28 16:52:35,True
5105644850645082	,P2mQB2HOy,"进山了 
丽江·玉龙雪山
 ",,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw1sa3szy3j33b04eo1kz.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000plUJfgx08jW9z9Xtm0f0f0100dJhC0k01.mov,丽江·玉龙雪山,2024-11-28T11:20:53,iPhone 15,0,2,0,,,2024-11-28 11:20:53,True
5105444241277563	,P2hD25mlR,"大眼睛👁️必须要有浓密睫毛！我悟了但我长不出这么长的睫毛咋办
 种睫毛的话我眼睛敏感 
我这眉眼距真的日后要做额头提升吗？
 ",,"https://wx4.sinaimg.cn/large/007XWY3Vgy1hw156mmnhsj30wf0j0afj.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw156o8tvnj30ws0k1q8o.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F00247xvwgx08jVgH5YlG0f0f0100b0Lf0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0046SwSIgx08jVgGWR0Q0f0f0100bSiT0k01.mov,,2024-11-27T22:03:44,iPhone 15,2,3,0,,,2024-11-27 22:03:44,True
5105429220693620	,P2heO2Urq,吃了丽江特产高原三文鱼🍣   没外面这么腥 #糯糯吃在丽江# ,,"https://wx4.sinaimg.cn/large/007XWY3Vgy1hw13jcogr2j34eo3b04qt.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw13jfw37ej34eo3b0npf.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0025M79Tgx08jVcMBObZ0f0f0100jBgP0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001qfsT1gx08jVcN1Fks0f0f0100h81r0k01.mov,,2024-11-27T21:04:03,iPhone 15,1,0,0,糯糯吃在丽江,,2024-11-27 21:04:03,True
5105414704991319	,P2gRokWt9,"很难么 我以前经常帮同事抢演唱会的票
 ",,"https://wx3.sinaimg.cn/large/007XWY3Vgy1hw11v04k4bj30wr1z0n1d.jpg,https://wx2.sinaimg.cn/large/007XWY3Vgy1hw11v5lqu5j30wr1b40wz.jpg",,,2024-11-27T20:06:22,iPhone 15,0,0,0,,,2024-11-27 20:06:22,True
5105396505121835	,P2go2luqf,"丽江更卷 比哈尔滨妆精致多了 最终选了这套壮族的 
丽江·丽江古城
 
椰奶小糯的微博视频
 ",,,"https://f.video.weibocdn.com/u0/rY6CpkAWgx08jV3FGdag01041200cNrF0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888409&ssig=S933BJ1Pm1&KID=unistore,video",丽江·丽江古城,2024-11-27T18:54:03,iPhone 15,5,6,0,,,2024-11-27 18:54:03,True
5105320193689565	,P2eoXftP7,哪个好看 ？宝宝们 ,,"https://wx4.sinaimg.cn/large/007XWY3Vgy1hw0qzvptvxj33b04eox6t.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw0r03n5bej33b04eo7wk.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw0r08s7wjj33b04eohdw.jpg,https://wx2.sinaimg.cn/large/007XWY3Vgy1hw0r0k41ynj33b04eox6r.jpg,https://wx3.sinaimg.cn/large/007XWY3Vgy1hw0r15fguuj33b04eoe85.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw0r6tb3jtj33b04eo7wl.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw0r6wz8cjj33b04eo1l1.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw0r80t3nsj33b04eoe85.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw0r0hcyqsj33b04eou12.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000eUmpdgx08jUJ4oHe00f0f0100cztd0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002XJNLrgx08jUJ4tj0Y0f0f0100aNks0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001mkqergx08jUJ4Dzn10f0f0100dZBR0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0010tk7Fgx08jUJ4Gxbp0f0f01007kOx0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004zbCmDgx08jUJ4S4SQ0f0f0100iEcy0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001CPZfEgx08jUJs1pBR0f0f0100hDUA0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0040cTnQgx08jUJsanjV0f0f0100eoXq0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000hcCSHgx08jUJwvImQ0f0f0100h8b90k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000Pd2mEgx08jUJ51Tyo0f0f0100nvEl0k01.mov,,2024-11-27T13:50:49,iPhone 15,1,10,0,,,2024-11-27 13:50:49,True
5105292822710944	,P2dGObneU,"累晕了 现在去流水线📷
  看看今天能不能抢到明天去雪山🏔️的票 
丽江·丽江三义国际机场
 ",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hw0nvnqlmgj34eo3b07wj.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000iYSPCgx08jUBBVRCn0f0f0100d7RB0k01.mov,丽江·丽江三义国际机场,2024-11-27T12:02:03,iPhone 15,1,6,0,,,2024-11-27 12:02:03,True
5105196583617044	,P2bbAfaXq,"第一次早到Vip口都没上班 
 我一般喜欢买10:30的航班，这样到国内大部分城市13:00左右 
杭州·杭州萧山国际机场
 ",,"https://wx4.sinaimg.cn/large/007XWY3Vgy1hw0cqe2g2mj32c0340x6p.jpg,https://wx3.sinaimg.cn/large/007XWY3Vgy1hw0di9sz8sj33402c0kjl.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002hhvM9gx08jUblHAwn0f0f0100c8fk0k01.mov,杭州·杭州萧山国际机场,2024-11-27T05:39:38,iPhone 15,0,0,0,,,2024-11-27 05:39:38,True
5105101551175109	,P28Ij4VHn,"#管晨辰称接受不了吴柳芳用体操擦边#出于嫉妒源于恨，太双标了吧
长得好看就是原罪，穿的少叫卖弄，穿的多叫假正经？
 ",,"https://wx2.sinaimg.cn/large/007XWY3Vly1hw01vqcb4sj30qo0k0ab0.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw01vj6zy5j30u011t425.jpg,https://wx2.sinaimg.cn/large/007XWY3Vgy1hw01vjkc26j30cu0as3z1.jpg,https://wx2.sinaimg.cn/large/007XWY3Vgy1hw01vjulphj30gw0qb41y.jpg","https://f.video.weibocdn.com/o0/SEwpMgGMlx08jTLk2688010412007a3R0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888410&ssig=r5n3PawZQs&KID=unistore,video",,2024-11-26T23:22:00,iPhone 15,7,0,1,管晨辰称接受不了吴柳芳用体操擦边,,2024-11-26 23:22:00,True
5105083987790166	,P28fYwGzQ,"萧山机场附近的酒店每家都给耳塞
 今天换了一家不咋吵 
杭州·空港新天地
 ",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvzzuwl7tyj34eo3b0b2c.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004ftZOygx08jTGCFBPi0f0f0100es7U0k01.mov,杭州·空港新天地,2024-11-26T22:12:13,iPhone 15,2,0,0,,,2024-11-26 22:12:13,True
5105075980604976	,P28342xnG,"#糯糯的gap碎片# 我一直觉得，互联网公司，其实核心就三个类型。也就是所谓的产研运。这也是互联网从诞生开始就同时诞生的三个岗位。其余的衍生岗位，包括市场、BD、设计等等……
而且互联网大厂里，在同职级情况下，薪资最高的技术，其次是产品，产品薪资是技术的80%。然后是运营，又是产品的80%。至于其余岗位，其实就要低很多了……",,,,,2024-11-26T21:40:24,iPhone 15,1,1,0,糯糯的gap碎片,,2024-11-26 21:40:24,True
5105067390926883	,P27Pd3T7J,"减肥
 一天只吃了一顿 我觉得小圆子和冰激淋烤布蕾最好吃
就算吃了外食也不要有心理负担又不是天天吃，死命吃
我都是每个吃几口，基本都打包了一大半。
我觉得一个月瘦5斤，这是正常速度 身体有调节能力的 不要急于求成 坚持下去会有惊喜的#糯の减肥100天倒计时# 
杭州·杭州湖滨银泰in77A区",,"https://wx3.sinaimg.cn/large/007XWY3Vgy1hvzxre4dh8j33b04eoqv7.jpg,https://wx3.sinaimg.cn/large/007XWY3Vgy1hvzxrbrqk6j34eo3b0b2c.jpg,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvzxrqzotxj33b04eo1l1.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0004BAcjgx08jTC5ufxB0f0f010086WY0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0022ariagx08jTC5I2je0f0f0100fk7V0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000YME1Sgx08jTC5PG4E0f0f0100f35U0k01.mov,杭州·杭州湖滨银泰in77A区,2024-11-26T21:06:15,减肥超话,3,2,0,糯の减肥100天倒计时,,2024-11-26 21:06:15,True
5104968396705776	,P25fxs8tG,"荣耀📱的宣传图，不会告诉你这个效果得打多少灯
 ",,"https://wx1.sinaimg.cn/large/007XWY3Vgy1hvzmmnyornj30u014wwnl.jpg,https://wx3.sinaimg.cn/large/007XWY3Vgy1hvzmmoozewj31400u0ds8.jpg",,,2024-11-26T14:32:54,iPhone 15,63,12,0,,,2024-11-26 14:32:54,True
5104943356707710	,P24B9s8YS,"在虹桥做了个生美，生美就是舒服！做完缓缓去旁边坐高铁🚄去杭州，感觉杭州也算是我的第二故乡了
闭着眼都认识 
上海·虹桥天地
 ",,https://wx3.sinaimg.cn/large/007XWY3Vgy1hvzjozrngkj33b04eonpf.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002xpCvagx08jT4fk1EA0f0f0100abEj0k01.mov,上海·虹桥天地,2024-11-26T12:53:24,iPhone 15,0,0,0,,,2024-11-26 12:53:24,True
5104669758325114	,P1XtRyVK2,"明天上午在虹桥火车站做个脸，搞完乘坐🚄到杭州，吃不知道算午饭还是下午茶还是晚饭的🍚，然后晚上做个头疗懒得自己洗头了，回空港的酒店又是睡在机场旁边
，明天赶早班机，中午就能到云南了
本人朴素平凡的一天#糯糯的gap碎片# ",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvyll2xuctj30sg0ss79a.jpg,,,2024-11-25T18:46:13,iPhone 15,1,0,0,糯糯的gap碎片,,2024-11-25 18:46:13,True
5104649218296377	,P1WWJyOgx,"#39岁失业后在菜市场重启人生#还是喜欢看普通人的故事！
走出信息茧房，来到就业市场，我这一个月才深切感受到当下不管是互联网还是其他行业风向的变化。
对于求职者而言，工作经历的多元化反而是劣势，“你以为你尝试了更多的东西，会为你的简历加分，但实际上在雇主眼里，它反倒让你的专业领域显得不够垂直了”。
另外大家都没错，时代的问题，别过多归因自己，别过多内耗。加油",,,,,2024-11-25T17:24:36,iPhone 15,6,0,1,39岁失业后在菜市场重启人生,,2024-11-25 17:24:36,True
5104642270694107	,P1WLx2Uzh,"感觉现在的网红妆 流水线景点写真清一色全是这样的妆容
 ",,https://wx4.sinaimg.cn/large/007XWY3Vgy1hvyl5j4gq4j30ns0nsdi5.jpg,,,2024-11-25T16:57:00,iPhone 15,4,3,0,,,2024-11-25 16:57:00,True
5104598371535034	,P1VCJ6rkC,"在望京上班也不错啊，完全可以选择顺义，地铁15号线从后沙峪直达望京，仅需26分钟。
同样是5K的租金预算，在望京只能租到没有电梯的一居老破小；而在后沙峪，可以得到近两室一厅的次新房。 ",,,,,2024-11-25T14:02:33,iPhone 15,2,6,0,,,2024-11-25 14:02:33,True
5104570890717784	,P1UUp30Ja,"医美
  上周滚了伊肤泉舒缓套组，下颌缘因为超塑冒的几颗痘全部平了。
老牌还是比较稳的，以前夏天油皮全脸长痘时每月都会去🏥滚祛痘套组，但她家祛痘对我效果一般 几次下来还不如一次黄金微针。
美白套组对我效果最好，现在的新版说是升级了，但东西没以前多，我妈滚了没之前效果好#糯糯科技变美##上微博学变美#",,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvyb87lddqj30ce0ijdh6.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001G5PLegx08jRqBCxi70f0f01004eki0k01.mov,,2024-11-25T12:13:21,医美超话,1,2,0,"糯糯科技变美,上微博学变美",,2024-11-25 12:13:21,True
5104555140580377	,P1Uv02qYV,"减肥
  天冷了  一定要勤上秤 
不然胖个𝟏𝟎斤、𝟖斤跟玩似的
希望快点上班 
不上班的日子我真的在外面没有啥想吃的 都太油了，每周都吃蟹粉小笼#糯の减肥100天倒计时# ",,"https://wx1.sinaimg.cn/large/007XWY3Vgy1hvyb41feh9j34eo3b0x6q.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvyb43ew4rj34eo3b0u0y.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000Ifdwpgx08jRmiWcCz0f0f0100fCEn0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003sYTUagx08jRmj7HYP0f0f0100eMha0k01.mov,,2024-11-25T11:10:46,减肥超话,1,1,0,糯の减肥100天倒计时,,2024-11-25 11:10:46,True
5104379282066480	,P1PVm8FAk,"一生要脸的中国人活得有多累，你不会不知道吧？
一定要三十而立，一定要衣锦还乡，一定要站着把钱给挣了，一定要把脸捧在手心上，却忽略了真正对自己最重要的事情是：情绪、健康、经济。 ",,,,,2024-11-24T23:31:58,iPhone 15,4,0,1,,,2024-11-24 23:31:58,True
5104362313482325	,P1PtZeBUx,"丽江就🐰兔子写真比较有名  但我一想到把恒姐那样标致的人化成那样 瞬间没兴趣了
 有时间可能去白沙古镇抱羊羔骑马 ",,,,,2024-11-24T22:24:32,iPhone 15,1,3,0,,,2024-11-24 22:24:32,True
5104255906351731	,P1MImqEnh,"#羊毛月一夜掉粉近22万#现在特别能感受到那句“问问自己有没有努力工作？”为什么会引发众人的声讨
长衫还未脱，但放在眼前的现实就是你问社会什么多，社会三千多，谁都不甘，那又如何？找不到工作是因为你不够努力吗？
羊毛月自己当网红成功了就何不食肉糜了！现在00后吃尽时代黑利了，除了18年那波互联网风潮，但18年那波红利大多数00后接触不到，谁想到现在就业形势这么严峻了？
大环境机会少了，我们需要付出更多才能达到老一辈同样的水平，大家也不过是社会的产物罢了…",,,,,2024-11-24T15:21:43,iPhone 15,9,3,0,羊毛月一夜掉粉近22万,,2024-11-24 15:21:43,True
5104239266760304	,P1MhwsmFa,"贝贝们，今年各大厂家突破壁垒了吗？冬天有没有自然的光腿神器推荐下啊 ？
每年买光腿神器没有一条满意的 踩雷无数 伤透我心 像假肢🦿，全世界的光腿神器都假白，大街上没见过一个自然的
 ",,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvxapwqhtuj30u00tptcj.jpg,,,2024-11-24T14:15:36,iPhone 15,1,6,0,,,2024-11-24 14:15:36,True
5104214608970353	,P1LDKBDB7,"#糯糯的Gap碎片#再次出发时，我现在的选择是：把工作意义感的优先级排在薪资前面。
比如有一家薪资给得不错，但是工作内容很机械、很消耗人，而另外一家的工作能够给我带来一些意义感，同时收入只要能让我维持正常的生活花销，我也会毫不犹豫地选择后者！ ",,,,,2024-11-24T12:37:37,iPhone 15,1,1,0,糯糯的Gap碎片,,2024-11-24 12:37:37,True
5104207556509925	,P1LsnrjwN,"有个笑话咋说的来着？
英语词汇量3000，在美国日常交流够用了，在海淀小学不够用
好想要个海淀牛娃
 ",,"https://wx4.sinaimg.cn/large/007XWY3Vgy1hvx77zpr6sj30wr0m0ncr.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvx780kjkdj30yi0y27wh.jpg,https://wx2.sinaimg.cn/large/007XWY3Vgy1hvx7818899j30yi10pkbj.jpg,https://wx3.sinaimg.cn/large/007XWY3Vgy1hvx781qmhgj30yi1981c4.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvx782eeqlj30yi138njx.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hvx78apw4oj30yi0pz1am.jpg",,,2024-11-24T12:09:35,iPhone 15,2,1,0,,,2024-11-24 12:09:35,True
5104186201211786	,P1KTW55eW,"减肥
  97.5，真的就没多吃，还是胖了。只不过工作日泡在图书馆，午饭就吃连锁店的。
我自己的进食习惯：常年默认吃2顿，没有社交需求晚饭不吃，饿会吃看身体反应没有绝对。
说实话，就单单晚饭不吃是不会反弹的，至少我没有反弹过，你不能在控制饮食后就暴饮暴食，慢慢恢复饮食就好了。
先瘦下来再考虑反弹这个问题吧，还没瘦就想着这么多，那只能继续胖下去。
其实无论用什么减肥方法，后期的自律才是最重要的，你看易梦玲也是小基数饿瘦下来的，瘦到现在80出头，现在一直保持得非常好，瘦了后不管是穿衣服还是大众视角下都漂亮不少，然后再也不想胖回去了，所以吃东西就非常自律了。#糯の减肥100天倒计时#",,,,,2024-11-24T10:44:44,减肥超话,5,1,0,糯の减肥100天倒计时,,2024-11-24 10:44:44,True
