id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104678440013438	,P1XHS03uK,"//@福运腿毛://@偶脚得偶还可以抢救一下:陈桂林太少，该杀未杀的邪教头子太多//@小雨迷人不眨眼:上海的白男借“身心灵按摩”之名侵害博主和其他受害女性，且他和他妻子的工作室目前还活跃在自媒体宣传11月底的活动，帮转🙏 
查看图片",,,,,2024-11-25T19:20:43,iPhone 16 Pro Max,1,0,3,,"福运腿毛,偶脚得偶还可以抢救一下,小雨迷人不眨眼",2024-11-25 19:20:43,False,5995418414,Lannna-,5103990033620104	,P1FNxfbKM,"一场持续长达五年以上 一个white trash对一群中国女性的pua式猥亵和性侵……
在小红书上发布视频后听了数十个女生的相似遭遇后真的很心痛.....💔🙏🏻
任何愿意伸出援手的朋友，我们需要你！！
真的非常感谢关心我为我提供帮助的朋友人也很感谢多家媒体记者帮我报道跟进，现已有数十名受害者愿意站出来举报，希望相关部门能介入，正义虽迟但到🙏🏻🙏🏻( 更多视频信息小红书🍠:Lanna昕昕）#上海按摩# 
上海
 
Lannna-的微博视频",,,"https://f.video.weibocdn.com/o0/R6n5L5Itlx08jORpZJi001041204bWPd0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732805578&ssig=baizc5q1V1&KID=unistore,video",上海,2024-11-23T21:45:14,iPhone客户端,21841,1197,5214,上海按摩,,2024-11-23 21:45:14
5103930692341711	,P1EfP9Pbx,庸医杀人下辈子不仅下地狱还要进畜生道//@小鹿Violeta:该死//@素素不叫苏苏:烂虫,,,,,2024-11-23T17:49:26,iPhone 16 Pro Max,1,0,2,,"小鹿Violeta,素素不叫苏苏",2024-11-23 17:49:26,False,5694463602,种牙匠黄建生,5102447464810708	,P11Fwkbu4,"""医美的那些烂事""
医美行业有个不公开的密秘，命如草芥: 一但出现致命大问题，一定要死透才叫120。这样省去抢救费，不会变成植物人，成本可控。
这叫穷凶极恶，但只是其中一种 ",,https://wx4.sinaimg.cn/large/006dno78gy1hvrkzjui1ej30z00t2q7h.jpg,,,2024-11-19T15:35:37,华为Mate60RS非凡大师,744,53,89,,,2024-11-19 15:35:37
5102907085555317	,P1dCQnjbT,小绿书上的臭ds腩怎么那么多… 我以前只查东西不发，就这几个月有时候发着玩，恶臭不友善的贱嘴腩不要太多，以后还是当个搜索引擎用罢了 ,,,,,2024-11-20T22:01:59,iPhone 16 Pro Max,3,0,0,,,2024-11-20 22:01:59,True
5102547044144214	,P14g8ho6a,"中国人就爱骗中国人！！！被小绿书上一篇篇强推功课推荐来的悬崖SPA➕餐厅狠狠踩雷了。啥破烂玩意儿，到处都脏的要死，蟑螂臭虫蚂蚁满桌子爬，桌布餐巾都是又黄又脏又破，服务差食物难吃环境Low，我真不知道那些人怎么夸出口的，全跟有的整圈博主似的！
最后几张图也可以拿去骗人，但我真的做不出为了晒几个图博流量装杯硬夸，好Low，夸的人也可能确实没见过什么好东西吧，我只能这样理解了",,"https://wx4.sinaimg.cn/large/0078Co3Qgy1hvrwdpgwbfj30u0140108.jpg,https://wx1.sinaimg.cn/large/0078Co3Qgy1hvrwdgwdjij30u01407em.jpg,https://wx1.sinaimg.cn/large/0078Co3Qgy1hvrwdhhnvzj30u0140n6g.jpg,https://wx1.sinaimg.cn/large/0078Co3Qgy1hvrwdi7ca3j30u014048d.jpg,https://wx2.sinaimg.cn/large/0078Co3Qgy1hvrwdk60iaj30u01404fo.jpg,https://wx3.sinaimg.cn/large/0078Co3Qgy1hvrwdm145tj30u0140k6b.jpg,https://wx4.sinaimg.cn/large/0078Co3Qgy1hvrwdmjiozj30u014014s.jpg,https://wx4.sinaimg.cn/large/0078Co3Qgy1hvrwdowqloj30u0140490.jpg,https://wx3.sinaimg.cn/large/0078Co3Qgy1hvrwdq5h7uj31400u0n7n.jpg,https://wx1.sinaimg.cn/large/0078Co3Qgy1hvrwdqnuurj30u0140qc0.jpg,https://wx4.sinaimg.cn/large/0078Co3Qgy1hvrwdrbkp3j30u01hc7eg.jpg,https://wx3.sinaimg.cn/large/0078Co3Qgy1hvrwhjepmvj31400u0thw.jpg,https://wx1.sinaimg.cn/large/0078Co3Qgy1hvrwhk1cjbj31hc0u0qab.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002Fb1ncgx08jIwj0wOr0f0f01003FXj0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0041hMUNgx08jIwj7e2Q0f0f01002PE70k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002FQvSYgx08jIwjiltd0f0f01004q550k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002g1RpSgx08jIwjslQA0f0f01002Ni80k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003HGR3Ygx08jIwjCwJV0f0f01003IcW0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004GAipTgx08jIwjJh5S0f0f01003qcJ0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000xn4P2gx08jIwjS0KX0f0f01005V270k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001HOwRDgx08jIwjYISA0f0f01003AMS0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002CMOaIgx08jIwk72MT0f0f01005Qfd0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001cxxmPgx08jIwkcFx60f0f01003Z8z0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000kHe5Dgx08jIwkjuPu0f0f01003jAi0k01.mov,,2024-11-19T22:11:19,iPhone 16 Pro Max,7,9,0,,,2024-11-19 22:11:19,True
