id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105597188150446	,P2lBIyciO,"做梦梦到自己杀人了 跟一个人吵架 我把一盆水泼到那个人脸上 那个人就呛死了 然后看见他的棺材抬出来 被吓醒了
 ",,,,,2024-11-28T08:11:30,iPhone 16 Pro Max,0,0,0,,,2024-11-28 08:11:30,True
5105197888831584	,P2bdGB3uU,人和人之间的缘分不是一场不出门就可以躲过的雨 ,,,,,2024-11-27T05:44:49,iPhone 16 Pro Max,5,0,0,,,2024-11-27 05:44:49,True
5105189602197719	,P2b0k9dJ5,轉發微博,,,,,2024-11-27T05:11:54,iPhone 16 Pro Max,0,0,0,,,2024-11-27 05:11:54,False,6599823312,永远整运爆棚的兔子,5104882637865291	,P231dx07x,"汇总一下近两年做过的超级满意的项目：
一.人中切两次 dr：@整形医生周文武 
让我换头top1级别的项目，拯救了正畸后人中长瘪嘴的我，第二次切到了9mm虽然恢复期长了些但效果很永久！目前术后一年半是11mm
二.鼻子修复 dr：@整形医生韩加送 
虽然修了两三次，但是大鼻子的细节就是不好出来（我认为大鼻头就是要多修复一次的）
鼻子是整个面部最重要的部分，鼻子小了以后我变成了真正秀气的感觉（基础是高大男人鼻
三.🐻修复 dr：@整形医生吕京陵 
恨自己没早点修，之前🇹🇭做的魔滴又假又硬时常有异物感，这次修了十几万的傲诺拉虽然贵但是太值得！（已成为我全身最贵的部位🫡
现在手感完全和真🐻没区别并且上提了以后少女很多，没有臃肿感了
四.下巴颏肌提升 dr：@3D打印整形张策 
虽然是我这两年最便宜的手术（5k）但是改变超大！！ 我打过几次玻尿酸 下巴变长变尖而且溶解酶溶不掉！ 做完以后下巴变短了而且没有奇怪的下坠感了（之前像女巫）
五.私密 全部都是在hestia做的
已成为我本人首尔必打卡地点….
六.皮肤注射医美不定期在蕾切尔、eg童颜、以及哪家打折便宜了或者顺路做了点小手术就会在哪家顺着一块做…最近还挺想去switz的据说反馈都很好（先留个坑）还有想找@董大说脸 打眶周双c+颞肌肉毒
（再留个坑位）
七.gio眼修复 这家你们经常问我v但是真的没有，我也是翻译带我去的（我的神仙姐妹她表示她不太想火😂虽然我猜有些人找过她，她经常会跟我说有拿我照片模版的客人哈哈哈）
为什么放到最后是因为我可能要修复眼头的小问题，但咋说我觉得包外眼角挺成功的…建议你们在他家做外眼角就好了，双眼皮还是小问题挺多💆♀️
以上我真是把自己的家底都掏出来了，希望以后的整运也一直一直一直好🙇♀️🙇♀️",,,,,2024-11-26T08:52:07,iPhone 13 Pro,151,23,74,,"整形医生周文武,整形医生韩加送,整形医生吕京陵,3D打印整形张策,董大说脸",2024-11-26 08:52:07
5104826180698350	,P21ya2VFI,骂了几个月的眼睛医生 现在原相机前置拍的比以前好看呢🌚🌚怎么回事 ,,,,,2024-11-26T05:07:47,iPhone 16 Pro Max,4,4,0,,,2024-11-26 05:07:47,True
5104444138848386	,P1RBXB7RU,"在脸上花了这么多钱 不管跟哪个亲戚吃饭 都会说我跟我爸是一个模子刻出来的 然后我爸就特别开心
但是我觉得一点都不像了啊！！！ ",,,,,2024-11-25T03:49:41,iPhone 16 Pro Max,4,3,0,,,2024-11-25 03:49:41,True
5104324533815139	,P1Ov3g0uv,老婆们有什么巧克力好吃 求推荐 喜欢吃甜甜的[偷樂][偷樂] ,,,,,2024-11-24T19:54:25,iPhone 16 Pro Max,0,2,0,,,2024-11-24 19:54:25,True
5104111483355893	,P1IXqe51j,刷到顾茜茜录播 给我硬控一小时🌚🌚 ,,,,,2024-11-24T05:47:50,iPhone 16 Pro Max,2,3,0,,,2024-11-24 05:47:50,True
5104081981407484	,P1IbQ5U9m,"真的否极泰来
 ",,,,,2024-11-24T03:50:36,iPhone 16 Pro Max,0,0,0,,,2024-11-24 03:50:36,True
5104081011737484	,P1Iah7hZW,唉呀好开心好开心最近[開學季][開學季] ,,,,,2024-11-24T03:46:45,iPhone 16 Pro Max,1,1,0,,,2024-11-24 03:46:45,True
5103152486156648	,P1k0EpPCM,//@Simpleangeluna:我就这样//@lilsuccuba:我就是这么一个,,,,,2024-11-21T14:17:07,iPhone 16 Pro Max,1,0,0,,"Simpleangeluna,lilsuccuba",2024-11-21 14:17:07,False,7594263888,极品萌娃,5101749818361777	,P0Jwhz5hn,没人惹我也要上微博骂两句 ,,,,,2024-11-17T17:23:25,iPhone客户端,213,12,753,,,2024-11-17 17:23:25
