id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106068453592324	,P2xRPf4wI,我只有无能的骂脏话，多想抽人 ,,,,,2024-11-29T15:24:08,iPhone 14,175,35,35,,,2024-11-29 15:24:08,True
5105771396989569	,P2q8HtkiZ,不要再去理会自己曾经爱过谁，在我90后这样的年纪，早已告别爱情。正如一年中的四季，我们正值秋天的年纪，虽然硕果累累，但也正是万物衰落，繁华褪尽之时，树叶悄然而逝，别再执着，沉默的隐忍，因为属于我的冬季不远了。 ,,,,,2024-11-28T19:43:44,iPhone 13,472,111,21,,,2024-11-28 19:43:44,True
5105296143288397	,P2dMadNsF,"天气越来越冷了，我就像天气一样很难受
，有人能扶我一下吗，我想站起来太冷了 ",,,,,2024-11-27T12:15:15,iPhone 13,505,125,8,,,2024-11-27 12:15:15,True
5104906551953448	,P23DN8cbe,刚才一个老太太说看孙子呢，我真的哭死 ,,,,,2024-11-26T10:27:09,iPhone 13,1919,270,48,,,2024-11-26 10:27:09,True
5104337202186845	,P1OPu9aTH,孤独这个词，你介意了它就是孤独，你享受了它就是自由 ,,,,,2024-11-24T20:44:45,iPhone 13,4287,279,335,,,2024-11-24 20:44:45,True
5104231573094935	,P1M57cZ8j,心情不好，继续消费买买买 ,,https://wx1.sinaimg.cn/large/008ue0q6ly1hvxa091l54j30u01sxaiu.jpg,,,2024-11-24T13:45:02,iPhone 13,2092,293,19,,,2024-11-24 13:45:02,True
5103955137267838	,P1ETfuuHc,权志龙特别帅，帅死了 ,,,,,2024-11-23T19:26:34,iPhone 14,1640,230,60,,,2024-11-23 19:26:34,True
5103859137250462	,P1CopuqaW,"#猪头辣姐123的红包#有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
猪头辣姐123 的红包
 ",,,,,2024-11-23T13:05:06,粉丝红包,365,163,6,猪头辣姐123的红包,,2024-11-23 13:05:06,True
5103528438402437	,P1tN1zfRb,"#猪头辣姐123的红包#有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
猪头辣姐123 的红包
 ",,,,,2024-11-22T15:11:01,粉丝红包,383,244,6,猪头辣姐123的红包,,2024-11-22 15:11:01,True
5103270614013317	,P1n5bgQ2V,头疼睡了，别发消息了不回 ,,,,,2024-11-21T22:06:31,iPhone 13,564,174,10,,,2024-11-21 22:06:31,True
5102917740922368	,P1dU23RWU,"我想那个了，没错就是复出
 ",,,,,2024-11-20T22:44:20,iPhone 13,1780,266,15,,,2024-11-20 22:44:20,True
5102780291483346	,P1akl6dSW,其实我现在发微博也没意思，每天就是想付出做一次都不切实际的想法，偷别人图复制文案发一些个无语的东西 ,,https://wx2.sinaimg.cn/large/008ue0q6ly1hvsnbc42b5j30u014011n.jpg,,,2024-11-20T13:38:09,iPhone 13,655,119,10,,,2024-11-20 13:38:09,True
5102404305423966	,P10xUmL1k,我真的是个无辜的好女人 ,,,,,2024-11-19T12:44:07,iPhone 13,1614,185,230,,,2024-11-19 12:44:07,True
