id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105557885682167	,P2kAknQbR,我发现我每次打烊后 我就会想有的没的 想很多 觉得自己很孤独 然后很害怕 睡不着觉 我每次都害怕睡不着觉 但是我以前有段时间跟经纪也睡得很好，我并不想自己吓自己 我很害怕睡不着觉影响第二天赚钱 经纪骂我 自己赚钱也耽误了， ,,,,,2024-11-28T05:35:19,,2,2,0,,,2024-11-28 05:35:19,True
5105555918291083	,P2kx9yMT9,"前段时间在深圳开的时候有一天 那经纪废物 一天没单 好容易晚上11点半了憋出来一个 来了后这男的拿钱手都掏出来了突然犯病 说“要不算了吧”我以前从不哄k 不屑于 也不符合我性格 那天太倒霉 经纪又废物生意又差 我一看赶紧说“哥哥我等你很久了”他掏回去的手又掏出来给我了 说那好吧
 这我还是从别的女孩子那儿学的 我说你不是从来不哄k吗 她说我是想着开最后一单最后一天了 也懒得跑 再等新k 了 干脆把这个哄完算了 姿态低点 一般情况都不会哄 我也不会，还有次半夜一个隔壁市单 给朋友叫的 那人睡了 叫的这人要退她 她赶紧说“哎 这好冷 你让我上去坐会等一下走吧 ”上去之后才跟叫的这人说了一通 又留了 我后来问她怎么 她说我才不走，大半夜两点 又坐一两小时车回去吗 不累死我 钱又没得到 苦也受了
 一般情况我都不哄k 除非是他妈点儿背 我才会哄 我也是这样",,,,,2024-11-28T05:27:30,,12,0,0,,,2024-11-28 05:27:30,True
5105515561222877	,P2ju4587P,转发微博,,,,,2024-11-28T02:47:08,,0,0,0,,,2024-11-28 02:47:08,False,7539909056,川岛奈奈子luly,5105186245443852	,P2aUUmQc4,不翻篇你永远不知道下一页有多好 ,,,,,2024-11-27T04:58:33,iPhone客户端,6,0,5,,,2024-11-27 04:58:33
5105512338686845	,P2joRArQp,好怕眼部衰老啊 想做眼部抗衰 ,,,,,2024-11-28T02:34:20,,1,0,0,,,2024-11-28 02:34:20,True
5104413756884603	,P1QOXsSZZ,谢谢你们帮助我 我收到好多私信 教我 帮助我的 谢谢。 ,,,,,2024-11-25T01:48:58,,4,0,0,,,2024-11-25 01:48:58,True
5104377726241110	,P1PSQqbB4,谁会翻墙啊 ,,,,,2024-11-24T23:25:47,,4,3,0,,,2024-11-24 23:25:47,True
5104377595429068	,P1PSDmMlC,谁会翻墙？ ,,,,,2024-11-24T23:25:15,,1,0,0,,,2024-11-24 23:25:15,True
5104375988491645	,P1PQ2zD41,有没有人会翻墙有软件？私信我 感谢 急急急 ,,,,,2024-11-24T23:18:53,,1,0,0,,,2024-11-24 23:18:53,True
5104366023612529	,P1PzYf9MB,"我登一个软件之前老他妈被封号 封了十几个了 我又去网吧注册 注册不了 现在重新买号 来回搞这么事搞了我两三小时
 ",,,,,2024-11-24T22:39:17,,1,0,0,,,2024-11-24 22:39:17,True
5104306223317010	,P1O1wdUUa,转发微博,,,,,2024-11-24T18:41:39,,0,0,1,,,2024-11-24 18:41:39,False,7395854516,猫打饼,5064166299404094	,OqVg1DsqW,究竟我躲到哪里，才能不被命运找到 ,,,,,2024-08-06T00:19:56,iPhone客户端,2,0,3,,,2024-08-06 00:19:56
5103497945288508	,P1sZQmbMw,不要接任何还价男的单 还价就没好事 人也不咋的 不要见 少一单你饿不死 ,,,,,2024-11-22T13:09:51,,15,0,0,,,2024-11-22 13:09:51,True
5103266478164103	,P1mYvyfR5,"我发现每次跟k聊他们行业内事 他们就话好多
 说自己干啥干啥 说下来说不停都 ",,,,,2024-11-21T21:50:05,,3,0,0,,,2024-11-21 21:50:05,True
5103138552677837	,P1jEbbeCV,这个人还找过我两次 就这个叠码仔 ,,,,,2024-11-21T13:21:45,,4,0,0,,,2024-11-21 13:21:45,True
5103137631504441	,P1jCH6jnb,我想起来了 那个叠码仔说我去澳门玩 还可以送我开丽思总统套这些 他说有权限也不费他什么钱，可惜后来这人微信在我前经纪号上 我没他微信啊…麻痹 我现在想着想 我没住过总统套,,,,,2024-11-21T13:18:06,,0,0,0,,,2024-11-21 13:18:06,False,5211406003,死于酒精中毒,5059369492813238	,OoUtfbNQO,对 我之前还接过叠码仔的单 那个男的就是干叠码仔的 没什么钱， ,,,,,2024-07-23T18:39:08,,0,1,1,,,2024-07-23 18:39:08
