id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106084591176206	,P2yhR4VZ4,喜欢看帅哥，跟爱男或者媚男毫无关系，只能说明人家审美好，望周知。,,,,,2024-11-29T16:28:15,Xiaomi Civi 3,0,0,0,,,2024-11-29 16:28:15,False,1926190375,幸福ing的琴琴,5105905832034671	,P2tDx8xjh,"喜欢在网上看帅哥，喜欢二次元帅哥，喜欢帅哥男明星。
都不妨碍她生活中讨厌男人，不婚不育，女quan主义。
前后两者不但不矛盾，反而有点因果关系：因为帅哥太少了，讨厌一切不帅的。
 ",,,,,2024-11-29T04:37:56,iPhone 14 Pro,14,6,1,,,2024-11-29 04:37:56
5106071977595347	,P2xXvvRTB,或者，还有一种可能，就是你这个所谓的男朋友，在别人面前说你根本不是女朋友，而是一个很容易上手的pao友，所以他们都想试试。反正无论哪种都不是好事！,,,,,2024-11-29T15:38:08,Xiaomi Civi 3,2,0,0,,,2024-11-29 15:38:08,False,1926190375,幸福ing的琴琴,5106068535645385	,P2xRXnGCB,"有个女孩跟我说：他男朋友的几个兄弟都在暗戳戳的追她，她觉得这是自己很有魅力的表现。
但我觉得这不是呀。
我觉得首先这几个男的人品不好，喜欢挖兄弟的墙角，
其次，他们瞧不起你男朋友，不怕得罪他。
再次，他们也瞧不起你，觉得你很容易上手。 ",,,,,2024-11-29T15:24:28,Xiaomi Civi 3,45,7,3,,,2024-11-29 15:24:28
5106068535645385	,P2xRXnGCB,"有个女孩跟我说：他男朋友的几个兄弟都在暗戳戳的追她，她觉得这是自己很有魅力的表现。
但我觉得这不是呀。
我觉得首先这几个男的人品不好，喜欢挖兄弟的墙角，
其次，他们瞧不起你男朋友，不怕得罪他。
再次，他们也瞧不起你，觉得你很容易上手。 ",,,,,2024-11-29T15:24:28,Xiaomi Civi 3,45,7,3,,,2024-11-29 15:24:28,True
5106056575848918	,P2xyFoxzo,希望姐妹们，以及我自己，以后收到的礼物，都是这个标准起步🙏🙏🙏接不接？,,,,,2024-11-29T14:36:56,iPhone 14 Pro,24,14,1,,,2024-11-29 14:36:56,False,1926190375,幸福ing的琴琴,5106014912776284	,P2wttbEeM,我以前发过这张照片没？ ,,https://wx4.sinaimg.cn/large/72cf5527gy1hw2ytjibudj22yo3y81kz.jpg,,,2024-11-29T11:51:23,iPhone 14 Pro,39,14,2,,,2024-11-29 11:51:23
5106014912776284	,P2wttbEeM,我以前发过这张照片没？ ,,https://wx4.sinaimg.cn/large/72cf5527gy1hw2ytjibudj22yo3y81kz.jpg,,,2024-11-29T11:51:23,iPhone 14 Pro,39,14,2,,,2024-11-29 11:51:23,True
5105905832034671	,P2tDx8xjh,"喜欢在网上看帅哥，喜欢二次元帅哥，喜欢帅哥男明星。
都不妨碍她生活中讨厌男人，不婚不育，女quan主义。
前后两者不但不矛盾，反而有点因果关系：因为帅哥太少了，讨厌一切不帅的。
 ",,,,,2024-11-29T04:37:56,iPhone 14 Pro,14,6,1,,,2024-11-29 04:37:56,True
5105904116302084	,P2tALqrsw,不过综合素质5分的女人要给综合素质8分的男人做免费pao友有难度，因为8分男会很警惕。综合素质6分的女人要给综合素质9分的男人做免费pao友就更不可能了，他们都无法认识。综合素质4分的女人给综合素质7分的男人做免费pao友还是不难的。,,,,,2024-11-29T04:31:07,iPhone 14 Pro,6,3,1,,,2024-11-29 04:31:07,False,1926190375,幸福ing的琴琴,5105785847679934	,P2qw0wdTU,"综合素质（颜值家境学历工作等等）4分的女人，要嫁给综合素质7分的男人很难。
但是综合素质4分的女人愿意一分钱不要，也不要负责任，给综合素质7分的男人做pao友，男人还是愿意的。 ",,,,,2024-11-28T20:41:09,Xiaomi Civi 3,25,7,6,,,2024-11-28 20:41:09
