id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105771618502417	,P2q93zFRL,天呐,,,,,2024-11-28T19:44:37,iPhone 14 Pro Max,1,0,3,,,2024-11-28 19:44:37,False,5609896682,诸暨流浪动物之家,5103565935479511	,P1uLvmZtd,"发现杭州萧山楼塔特大狗肉屠宰场！急需大量志愿者個志愿者发现一辆载满狗狗的狗车，其中还有不少品种狗，跟随狗车发现了特大屠宰场！
目前急需大量志愿者，狗贩子们甚至当着志愿者和执f者的面屠S小狗并且剥p！！
现场志愿者已经报警，白天各部门领导辛苦前往了现场
协助了屠夫让卖家拉走了白条狗
为动物发声#拒绝食用伴侣动物# 
杭州·楼塔古镇
 
诸暨流浪动物之家的微博视频",,,"https://f.video.weibocdn.com/o0/E8i222Nclx08jN0hCLsA01041200kjyc0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732888502&ssig=Q2Nm46tXnW&KID=unistore,video",杭州·楼塔古镇,2024-11-22T17:40:01,iPhone客户端,4795,1201,4598,拒绝食用伴侣动物,,2024-11-22 17:40:01
5105355818274143	,P2fkpyItV,"我宣布因为怕浪费食物从而导致失败的减肥女
才是世界上最善良的小女孩哈
一个对食物都不敢控制发火的孬种
再坏能坏到哪里去呢 ",,,,,2024-11-27T16:12:23,iPhone 14 Pro Max,51,5,4,,,2024-11-27 16:12:23,True
5103652729520476	,P1x1uDWI4,"来吧展示
一个老顾客一年的跟进反馈
这种愿意露脸的顾客我真的感恩戴德
后面还会展示反馈合集
这是运用动物力量结缘
只要有缘份会托梦
能有缘份的福主反馈全在我朋友圈
会在梦中告知缘分
 
福运麻麻的微博视频
 ",,,"https://f.video.weibocdn.com/o0/oFek4OqSlx08jNo2F98I01041200ekiU0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888518&ssig=izUZWhwSR7&KID=unistore,video",,2024-11-22T23:24:54,微博视频号,1,0,0,,,2024-11-22 23:24:54,True
5103543433035925	,P1ubdcJMx,好瘦好小一只 ,,"https://wx3.sinaimg.cn/large/006pfpmLgy1hvv2yxcnucj30sc1hc10l.jpg,https://wx4.sinaimg.cn/large/006pfpmLgy1hvv2yxtjjnj30u01hcdk9.jpg,https://wx2.sinaimg.cn/large/006pfpmLgy1hvv2yy8q08j30k00zk41w.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000LYh9bgx08jMUdz67B0f0f0100l5ue0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001HSGeQgx08jMUdQ5gQ0f0f0100nQu70k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000V9tC8gx08jMUe4LYc0f0f0100kHFA0k01.mov,,2024-11-22T16:10:35,iPhone 14 Pro Max,23,2,0,,,2024-11-22 16:10:35,True
5103470245842025	,P1shaovMd,"大家都好像默认麦琳是特殊的
我要特别的包容关照她来显得她更特殊更格格不入
这种体面式的成年人孤立
这群人还不如直接和麦琳打明牌开撕 ",,,,,2024-11-22T11:19:47,iPhone 14 Pro Max,11,0,1,,,2024-11-22 11:19:47,True
5103469648413805	,P1sgcziOx,"看大家都在讨论再见爱人
很多人怜爱李行亮
我觉得这俩人都是傻逼都挺遭人烦的
如果不懂李行亮讨厌人的点
可以代入一下雌竞文里的绿茶女二
总是喜欢用乖巧老实无辜不会说话
又暗搓搓的用装无辜来点燃别人的燃点 ",,,,,2024-11-22T11:17:25,iPhone 14 Pro Max,97,7,2,,,2024-11-22 11:17:25,True
5103135212699773	,P1jyNbkkJ,"别人管不住嘴是吃了一堆好吃的
我就吃了两口花生米一下子停不下来了
暴食了6大把花生米
服了
一点都没吃到自己想吃的
我为什么不把热量匀给薯片
但是我发现吃花生之后一下子什么都不想吃了
对食物丧失兴趣的不想吃
也特别的防暴食
 ",,,,,2024-11-21T13:08:28,iPhone 14 Pro Max,4,2,0,,,2024-11-21 13:08:28,True
5102749123088042	,P19w4cXl8,"如果社会能够性转一下对待
我都不知道我生下来会有多爽
一出生就有父母给我操心房子继承
不用在减肥节食和暴食之间承受心理生理双重痛苦
只要保证身材健康体能健康
每天可以不用考虑热量
健康的吃饱吃爽
不需要在整容医美大量的消费
把所有的钱拿来投资旅游享受生活
只需要一点点钱加上我会聊天说话就可以娶到一个极具性价比的女生来我家里照料我
满足我性需求和老年陪伴
哪怕我不会聊天也没关系
也不需要哄对方
我可以装扮成一个老实人不善言辞
这样就显得对方无理取闹
哪怕我没那么有钱也没关系
社会鼓励我莫欺少年穷
我就踏踏实实过日子
谁嫌弃我穷没本事那这个老婆也是不懂事
哪怕我不那么忠诚也没关系
因为我是男人
不忠诚狩猎才是男人本性
社会上有几个男的不出轨
我又不家暴又不违法
只要我是一个正常人正常生活正常经济水平
我都不敢想象我的过的有多爽",,,,,2024-11-20T11:34:18,iPhone 14 Pro Max,107,7,17,,,2024-11-20 11:34:18,True
