id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104769752629629	,P2059b25n,妈妈 我好累 ,,,,,2024-11-26T01:23:34,iPhone客户端,0,0,0,,,2024-11-26 01:23:34,True
5104769465844977	,P204GowxP,吗的 傻逼 ,,,,,2024-11-26T01:22:25,iPhone客户端,0,0,0,,,2024-11-26 01:22:25,True
5104691572640962	,P1Y33b52a,我是真的真的很颜控 我不仅颜控 我还爱钱 我只想吃又帅又有钱的饭 ,,,,,2024-11-25T20:12:54,iPhone客户端,1,0,0,,,2024-11-25 20:12:54,True
5104571103839365	,P1UUKg6Nf,"无语了 
新加坡
 ",,,,新加坡,2024-11-25T12:14:12,iPhone客户端,0,0,0,,,2024-11-25 12:14:12,True
5103956204459456	,P1EUYiI6I,三百六十行 行行干破房 ,,,,,2024-11-23T19:30:49,iPhone客户端,0,0,0,,,2024-11-23 19:30:49,True
5103700830061887	,P1yh50g6b,"“不要把别人拥有的东西当作是你失去的。” 
别人有没有，和你都没有关系。 ",,,,,2024-11-23T02:36:03,iPhone客户端,0,0,0,,,2024-11-23 02:36:03,True
5103660579950971	,P1xe9FKHx,给过你的我从来没给过别人 ,,,,,2024-11-22T23:56:06,iPhone客户端,0,0,0,,,2024-11-22 23:56:06,True
5103659999823670	,P1xddFdAi,"如果可以 想一直呆在国外 。每次都是迫不得已回国。
 ",,,,,2024-11-22T23:53:48,iPhone客户端,0,0,0,,,2024-11-22 23:53:48,True
5103658851107787	,P1xbn4Ebx,最大的知心朋友是自己 ,,,,,2024-11-22T23:49:14,iPhone客户端,0,0,0,,,2024-11-22 23:49:14,True
5103501084459492	,P1t4UiI7i,我感觉我情商真低 老是能激发人性的恶 ,,,,,2024-11-22T13:22:19,iPhone客户端,0,0,0,,,2024-11-22 13:22:19,True
5103374658175432	,P1pMZyiNO,再苦再累也不提 年底偷偷买奥迪 ,,,,,2024-11-22T04:59:57,iPhone客户端,0,1,0,,,2024-11-22 04:59:57,True
5103373319930306	,P1pKPFFke,今年要不要回去过年啊  回去好无聊 没啥事真的不愿意回 ,,,,,2024-11-22T04:54:38,iPhone客户端,0,0,0,,,2024-11-22 04:54:38,True
5103373068796131	,P1pKqAUh5,我赚钱速度怎么这么慢啊 唉 痛苦 ,,,,,2024-11-22T04:53:38,iPhone客户端,0,1,0,,,2024-11-22 04:53:38,True
5103372661948715	,P1pJM8aWT,我真他妈老天爷了 人真的是不能休息 停歇 一停下来 就被人超越了 ,,,,,2024-11-22T04:52:01,iPhone客户端,0,0,0,,,2024-11-22 04:52:01,True
