id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104671562140909	,P1XwM8YWN,为什么我doi会有负罪感😣 ,,,,,2024-11-25T18:53:23,iPhone 13 Pro Max,5,2,0,,,2024-11-25 18:53:23,True
5104671376802757	,P1XwtsxHT,我挺爱在微博上打字 是因为说自己sex的事情 可以缓解我那个完的羞耻感💣💣💣💣💣 ,,,,,2024-11-25T18:52:39,iPhone 13 Pro Max,4,0,0,,,2024-11-25 18:52:39,True
5104671020285978	,P1XvU1coy,虽然我很喜欢doi 但是贤者时期我会觉得自己很恶心🤢想死 连带着看男朋友都讨厌 ,,,,,2024-11-25T18:51:13,iPhone 13 Pro Max,6,0,0,,,2024-11-25 18:51:13,True
5104634916246399	,P1WzFqcYn,我这种脸皮巨厚的除外哈哈哈哈哈 但是有一说一 自己能赚钱无论咋样都是没错的 给自己的精力分分流,,,,,2024-11-25T16:27:46,iPhone 13 Pro Max,5,0,0,,,2024-11-25 16:27:46,False,1775868147,雪怡的blog,5104246798421310	,P1MtFzkLA,"女生一定要自己赚钱。就即使是你找个有钱的老公，但也不能在家什么事情都不做。
你自己不赚钱，就只能做别人的舔狗。可能一开始热恋期间没啥，但是时间久了，肯定不得不妥协很多事情。
只要自己能赚钱有自己的一份工作事业，就是底气。 ",,,,,2024-11-24T14:45:32,,53,8,2,,,2024-11-24 14:45:32
5104634163103919	,P1Wysd1td,感觉已经定型了 任何八卦虽然最后都是指向裤裆子里的事 可是现在大家连过程都省略了//@Rouge_Libertin:真的烦透了,,,,,2024-11-25T16:24:46,iPhone 13 Pro Max,3,0,0,,Rouge_Libertin,2024-11-25 16:24:46,False,5585316677,河南原神小王,5104392758627516	,P1Qh5Acpu,我真的厌烦了每次一讨论点啥，最后都会流向这个女的婊不婊，擦没擦，绿茶不绿茶，花钱没花钱了。很他妈无聊啊，怎么这么多傻逼上个网就图跟个居委会主任一样找“失足妇女”谈心。谭竹这个事，我们可以讨论的是“拿自杀威胁复合这个行为合不合理”；麦琳这个事，我们可以讨论“全职主妇的家庭困境”；吴柳芳这个事，我们可以讨论“运动员退役待遇”。这个社会明明这么大，你们他妈就喜欢钻女人裤裆底下，一群窥阴癖。,,,,,2024-11-25T00:25:31,iPhone 15,7236,72,1278,,,2024-11-25 00:25:31
5104633901221090	,P1Wy257F0,我以前还觉得一个男的尊不尊重女人 并不能决定他爱不爱你 就是感觉不尊重女人和对你好爱你是可以同时存在的 今天我才发现不行哈 一个不尊重女人的男人 两性关系里只会换种角度吃女人 以前我太片面了 ,,,,,2024-11-25T16:23:44,iPhone 13 Pro Max,10,0,0,,,2024-11-25 16:23:44,True
5104619975345297	,P1Wbzmqyt,好难过 我已经把很大一部分价值定义在男的给不给我花钱上了 ,,,,,2024-11-25T15:28:24,iPhone 13 Pro Max,3,2,0,,,2024-11-25 15:28:24,True
5104543669158966	,P1UcuCqFg,有没有可能在擦边这个范围里 无论你支不支持女的擦边 吃亏的挨打的都是女的💣 ,,,,,2024-11-25T10:25:11,iPhone 13 Pro Max,4,1,0,,,2024-11-25 10:25:11,True
5104533006455011	,P1TVir5f5,高博的桂花护手霜最好用了 便宜还滋润 而且干得快 ,,,,,2024-11-25T09:42:49,iPhone 13 Pro Max,2,1,0,,,2024-11-25 09:42:49,True
5104394226108788	,P1QjspDaQ,老公我爱你💕牛子很好我很喜欢 ,,,,,2024-11-25T00:31:21,iPhone 13 Pro Max,3,1,0,,,2024-11-25 00:31:21,True
5104349392407911	,P1P99a6ph,是的 这么多年了 我还是没学会 在完成每一个任务节点之后我该怎么走 去接近下一个节点 才发现人生的重点 是点与点之间那一段平平无奇的时光 ,,,,,2024-11-24T21:33:12,iPhone 13 Pro Max,12,3,0,,,2024-11-24 21:33:12,True
