id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105136078685153	,P29BZArp7,转发微博,,,,,2024-11-27T01:39:12,iPhone客户端,1,0,0,,,2024-11-27 01:39:12,False,7364897485,richandbeautiful911,5096639498551640	,OEy29zSFG,"当一个女的开始给你看她的伤口 原生家庭 各种苦难 那就是她要开始打广告搞炸片圈钱了 例：狗头萝莉
当一个男的开始给你诉说各种不幸悲惨 创业路漫漫 从一无所有到现在 那就开始要卖课创业圈钱骗身子了 人主动诉说苦难 是一个反人类行为 他们之所以这么做 是因为能换钱 能利用到善良无知的人 所以说：听到网上的人宣扬营销感很重bbb 直接划走屏蔽 人各有命 尊重远离",,https://wx3.sinaimg.cn/large/0082qmh7gy1hv91zwz4jvj30k00hbdhu.jpg,,,2024-11-03T14:56:49,iPhone客户端,65,3,6,,,2024-11-03 14:56:49
5105082158288525	,P28d1yMdT,"仙品
 ",,https://wx1.sinaimg.cn/large/006ncvYdly1hvzzp112noj32c0340e82.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002VqKRFjx08jTG7Iouc0f0f0100mMFN0k01.mov,,2024-11-26T22:04:57,iPhone客户端,2,0,0,,,2024-11-26 22:04:57,True
5104512794627166	,P1ToHjpJI,弦乐真的太难了 ,,https://wx3.sinaimg.cn/large/006ncvYdly1hvy6awa79ej30za1ck7f9.jpg,,,2024-11-25T08:22:30,iPhone客户端,2,0,0,,,2024-11-25 08:22:30,True
5102609230725810	,P15Sr32OC,"特别讨厌别人分析自己，尤其是分析错了还沾沾自喜。就很像明星中的磊子，一股爹味说教。
发型不变和规矩有关系吗？只是当下的我觉得马尾通勤最方便、黑色最适合我。
有的老师是很有经验很聪明，但她非得处处显着，反而过犹不及。
这个老师现在我觉得她很der，以前很爱听她说话，现在：别cue我了，别假装很懂我了真的好尬。
真的不懂什么事情都要上升高度。",,,,,2024-11-20T02:18:25,iPhone客户端,1,2,0,,,2024-11-20 02:18:25,True
