id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5103576221484164	,P1v266e68,"‼️‼️入境韩国攻略大全
赴韩app见最后一张图，要是用交通卡的话，非常推荐下载“交通卡余额查询”，随时随地可查交通卡余额！
感觉出门买东西时最好带着护照，指不定哪里就可以现场退税，granhand香水店就可以现场退
小🍠也特别好用，上边有各种攻略‼️
退税攻略
网页链接
打车攻略：
网页链接
交通卡充值攻略：
网页链接
smartpass离境韩国攻略： 
网页链接
 
交通卡余额查询下载及使用攻略： 
网页链接
 #我的工具#",,"https://wx2.sinaimg.cn/large/008FNkclly1hvv68k5z3xj30ku19443o.jpg,https://wx1.sinaimg.cn/large/008FNkclly1hvv68l1l9bj30ku194aeh.jpg,https://wx2.sinaimg.cn/large/008FNkclly1hvv68lve8jj30ku194gqr.jpg,https://wx3.sinaimg.cn/large/008FNkclly1hvv69bsmzej30ku106tcw.jpg,https://wx1.sinaimg.cn/large/008FNkclly1hvv68rd1c5j30ku194gqw.jpg,https://wx4.sinaimg.cn/large/008FNkclly1hvv6a2i76jj30ku194n1t.jpg,https://wx2.sinaimg.cn/large/008FNkclly1hvv6a2ut3vj30ku0hytak.jpg,https://wx2.sinaimg.cn/large/008FNkclly1hvv6e4ye6uj313o0q4wks.jpg,https://wx2.sinaimg.cn/large/008FNkclly1hvvxr62e7dj30ku1940wh.jpg",,,2024-11-22T18:20:54,,2,0,3,我的工具,,2024-11-22 18:20:54,True
5105758079549671	,P2pNdE4iX,"我丢，我自己用花生酱加其他调味品调的饺子蘸酱太好吃了
想起了在上海万航渡路的那家饺子馆
那家的蘸料可太香了 ",,,,,2024-11-28T18:50:49,,1,2,0,,,2024-11-28 18:50:49,True
5105696595252074	,P2oc3m2iS,"安卓机里边，有拍照赶得上苹果手机的吗？苹果手机掉电太快了，
也有可能我这手机用太久了 ",,,,,2024-11-28T14:46:30,,0,2,0,,,2024-11-28 14:46:30,True
5105631566233722	,P2mvaq9FU,大姨妈结束后，一定去韩国把胸做了 ,,,,,2024-11-28T10:28:05,,1,2,0,,,2024-11-28 10:28:05,True
5105398815656172	,P2grLnJqA,"男人看身材大过看脸，这句话我今年下半年才明白，以前就是傻傻的不知道这回事。
至于捞男人的钱，我看我这觉悟还是适合捞尸吧 ",,,,,2024-11-27T19:03:14,,4,2,0,,,2024-11-27 19:03:14,True
5105260471519338	,P2cQD6nfs,"基础A，放295cc假体，只能到B吗？
 ",,,,,2024-11-27T09:53:30,,1,11,0,,,2024-11-27 09:53:30,True
5104938120122187	,P24sI0vML,感觉北京这边啥啥都挺严格，昨天去医院，要安检，坐地铁回家的时候，入口处有jc查旅客身份证，过海关出国的时候，带了1000w韩币差点给我拦住 ,,,,,2024-11-26T12:32:36,,0,0,0,,,2024-11-26 12:32:36,True
5104919201711674	,P23Yc7bhE,上海机场查携带外币查的严吗？大概800多万韩币 ,,,,,2024-11-26T11:17:25,,1,2,0,,,2024-11-26 11:17:25,True
5104750981287144	,P1ZAS5oQo,"霸总撕开了你的绒裤、棉裤、毛裤、秋裤，还把我两双棉花套子雪地靴扔在地上，接着撕开我的棉袄、棉马甲、毛衣、线衣、秋衣、保暖内衣。霸总也脱了绒裤、毛裤、秋衣、秋裤。两人的皮屑在昏暗的灯光下飞舞。
霸总关了灯，我们一起躺在床上，我的化纤毛衣起了静电，照亮了他刀削斧凿般的英俊侧脸。然后我脚后跟的皲皮，把霸总的丝绸床单挂成了流苏款，霸总撕累了，说：下次吧！然后，你又开始穿上你的绒裤毛裤棉裤秋裤…⋯
霸总：够了！扒苞米都没你费劲",,,,,2024-11-26T00:08:58,,1,2,0,,,2024-11-26 00:08:58,True
5104619977968473	,P1WbzxqXL,"三甲医院👨⚕️说，我这🐻疼，没啥大毛病，大概率就是脂肪填充引起的，可以放假体的时候让👨⚕️处理下，但也不见得处理后就不疼了，反正不是癌，不用太担心。疼痛的地方自己代谢掉，情况会有好转。
假体🐻还是脂肪🐻，真得一开始就得想好，要是想要大🐻，本身还很瘦的话，脂肪填充一次的效果，其实根本达不到。 ",,,,,2024-11-25T15:28:25,,2,0,0,,,2024-11-25 15:28:25,True
