id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104675088501982	,P1XCszFKK,点了,,,,,2024-11-25T19:07:24,iPhone客户端,0,0,0,,,2024-11-25 19:07:24,False,6587114104,芸豆和雨豆,5104251707588784	,P1MBAvQbK,"关于麦琳，我没看节目只随便看了点视频，也从未发表任何评论，只是单纯的不关心。
有什么好关心的呢？
再差劲，她也只是个女人。
不会强奸，不会偷拍，不会嫖娼，不会家暴把另一半打得头破血流，不会超雄发疯，不会杀人，不会报复社会，不会挑起国家战争的——女人。
坏女人，再坏也就是吃个烧鸡扔扔大鼻涕纸，抽烟，熬夜，喝水，不洗澡不爱干净，不会管钱，说话难听，情商低点，到头了。
那咋了？以上这些，犯法吗？
又不是麦琳把李行亮用铁链子栓床头每天毒打强暴一百遍，管他们呢？应该把那些调解员们调解女性被家暴时候的话用上啊：家庭内部矛盾，自行解决呗。",,,,,2024-11-24T15:05:01,iPhone 14 Pro,35734,265,1373,,,2024-11-24 15:05:01
5104674908408444	,P1XCazhq4,"好爱我妈
误打误撞和爸妈看了《好东西》
我妈喜欢死这部电影了 ",,,,,2024-11-25T19:06:41,iPhone客户端,0,0,0,,,2024-11-25 19:06:41,True
5103266260059990	,P1mYa0fBA,"小区的亭子好爽啊
 ",,https://wx2.sinaimg.cn/large/008qYKcMgy1hvu74yxtguj30u0140k0r.jpg,,,2024-11-21T21:49:13,iPhone客户端,0,2,0,,,2024-11-21 21:49:13,True
5102748833940896	,P19vBgxcQ,做了鼻子之后其实不是鼻炎，就是鼻屎老堵着，喘不过气。由于鼻孔缩小了，小拇指又没办法伸进去掏，只能在没人的地方偷偷用纸巾和棉签，连带着扯出长长一条鼻屎和鼻涕就爽死了 ,,,,,2024-11-20T11:33:09,iPhone客户端,1,1,0,,,2024-11-20 11:33:09,True
5102726939153262	,P18WhCpbg,"浙二口腔搬家新地址和私立一样豪华
 ",,,,,2024-11-20T10:06:09,iPhone客户端,0,0,0,,,2024-11-20 10:06:09,True
5102533840471459	,P13UQ1YEb,"最近沉下心来减肥
结果天天吃夜宵吃到撑死
能见到的都被我吃了
胃像个无底洞
ED感觉要复苏了 ",,,,,2024-11-19T21:18:51,iPhone客户端,0,0,0,,,2024-11-19 21:18:51,True
5102445803865596	,P11CQgdCk,"部分女的由于从小长得胖丑被迫变得和善，当老好人
一旦改变外观之后
就会报复性变得具有攻击性
顺便在无人的角落心疼小时候的自己 ",,,,,2024-11-19T15:29:01,iPhone客户端,10,0,0,,,2024-11-19 15:29:01,True
5102245882889148	,P0Wqoc7Ba,,,,,,2024-11-19T02:14:36,iPhone客户端,0,0,1,,,2024-11-19 02:14:36,False,2599051311,喵喵困了-,5101978030703013	,P0Psn2WSV,"结婚的人口风是真紧啊
 ",,"https://wx4.sinaimg.cn/large/9aea602fly1hvq36m2omij20n014u46a.jpg,https://wx3.sinaimg.cn/large/9aea602fly1hvq36lpj34j20n00baq4u.jpg,https://wx3.sinaimg.cn/large/9aea602fly1hvq36mojm1j20n00e1mzy.jpg,https://wx3.sinaimg.cn/large/9aea602fly1hvq36n0fvgj20hs0f9406.jpg,https://wx3.sinaimg.cn/large/9aea602fly1hvq36nfm50j20u01u3wme.jpg,https://wx3.sinaimg.cn/large/9aea602fly1hvq36nxrr6j20u01lygu5.jpg",,,2024-11-18T08:30:15,iPhone客户端,39603,556,2783,,,2024-11-18 08:30:15
