id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5102421017891510	,P10YRx6Wq,"回复@牙医刘迁:不敢当
//@牙医刘迁:刘老师你是我前进的明灯，",,,,,2024-11-19T13:50:32,三星Galaxy Z Fold6,4,0,0,,"牙医刘迁,牙医刘迁",2024-11-19 13:50:32,False,3029848784,嘉兴牙医刘靖晋,5101756292008045	,P0JGJ8qnP,微博三个月冒个泡。 ,,"https://wx4.sinaimg.cn/large/b497d2d0gy1hvpdphgc63j21010guq4h.jpg,https://wx4.sinaimg.cn/large/b497d2d0gy1hvpdphtaruj20ir0wdmyj.jpg,https://wx2.sinaimg.cn/large/b497d2d0gy1hvpdpi4x4hj21190ga0ub.jpg,https://wx1.sinaimg.cn/large/b497d2d0gy1hvpdpiyew2j21zz0u0why.jpg",,,2024-11-17T17:49:09,三星Galaxy Z Fold6,190,36,14,,,2024-11-17 17:49:09
5102160029419737	,P0UbUDwvf,//@黑白格zwm:膜拜大神,,,,,2024-11-18T20:33:27,三星Galaxy Z Fold6,2,0,0,,黑白格zwm,2024-11-18 20:33:27,False,3029848784,嘉兴牙医刘靖晋,5101756292008045	,P0JGJ8qnP,微博三个月冒个泡。 ,,"https://wx4.sinaimg.cn/large/b497d2d0gy1hvpdphgc63j21010guq4h.jpg,https://wx4.sinaimg.cn/large/b497d2d0gy1hvpdphtaruj20ir0wdmyj.jpg,https://wx2.sinaimg.cn/large/b497d2d0gy1hvpdpi4x4hj21190ga0ub.jpg,https://wx1.sinaimg.cn/large/b497d2d0gy1hvpdpiyew2j21zz0u0why.jpg",,,2024-11-17T17:49:09,三星Galaxy Z Fold6,190,36,14,,,2024-11-17 17:49:09
5102032520479512	,P0QSg20K4,回复@北京牙医_胡璐璐:那就是说明做太透了，哈哈，真牙永远都是对的//@北京牙医_胡璐璐:比真牙通透度还好,,,,,2024-11-18T12:06:47,三星Galaxy Z Fold6,1,0,0,,"北京牙医_胡璐璐,北京牙医_胡璐璐",2024-11-18 12:06:47,False,3029848784,嘉兴牙医刘靖晋,5101756292008045	,P0JGJ8qnP,微博三个月冒个泡。 ,,"https://wx4.sinaimg.cn/large/b497d2d0gy1hvpdphgc63j21010guq4h.jpg,https://wx4.sinaimg.cn/large/b497d2d0gy1hvpdphtaruj20ir0wdmyj.jpg,https://wx2.sinaimg.cn/large/b497d2d0gy1hvpdpi4x4hj21190ga0ub.jpg,https://wx1.sinaimg.cn/large/b497d2d0gy1hvpdpiyew2j21zz0u0why.jpg",,,2024-11-17T17:49:09,三星Galaxy Z Fold6,190,36,14,,,2024-11-17 17:49:09
5102014326901294	,P0QoUsXlc,回复@牙医--李怀翔:大家都越来越好//@牙医--李怀翔:三个月了，本来想站起来缓缓的，得～接着跪着吧,,,,,2024-11-18T10:54:29,三星Galaxy Z Fold6,1,0,0,,"牙医--李怀翔,牙医--李怀翔",2024-11-18 10:54:29,False,3029848784,嘉兴牙医刘靖晋,5101756292008045	,P0JGJ8qnP,微博三个月冒个泡。 ,,"https://wx4.sinaimg.cn/large/b497d2d0gy1hvpdphgc63j21010guq4h.jpg,https://wx4.sinaimg.cn/large/b497d2d0gy1hvpdphtaruj20ir0wdmyj.jpg,https://wx2.sinaimg.cn/large/b497d2d0gy1hvpdpi4x4hj21190ga0ub.jpg,https://wx1.sinaimg.cn/large/b497d2d0gy1hvpdpiyew2j21zz0u0why.jpg",,,2024-11-17T17:49:09,三星Galaxy Z Fold6,190,36,14,,,2024-11-17 17:49:09
