id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105556666974476	,P2kymtgny,我真的很爱玩抽象 很多人不懂 美羊羊不更新微博了 很难过 美羊羊写的东西就是我精神世界的体现 引起共鸣 很多人不懂 懂的都是同一类人 ,,,,,2024-11-28T05:30:29,iPhone 11,11,5,1,,,2024-11-28 05:30:29,True
5105555137888364	,P2kvTx67G,"本宝宝的身高体重
 ",,https://wx2.sinaimg.cn/large/9e6ea920gy1hw1i0lu1bgj20ku050mxp.jpg,,,2024-11-28T05:24:24,iPhone 11,0,1,0,,,2024-11-28 05:24:24,True
5105542970736838	,P2kch35Gu,"鹿晗就是kpop史上 唱功最强绿卡主唱
全能ace 前无古人 后无来者
 ",,,,,2024-11-28T04:36:03,iPhone 15,4,1,0,,,2024-11-28 04:36:03,True
5105519861957773	,P2jB08diZ,鹿鹿特别想去东欧旅游 那几个斯坦 还有俄罗斯 乌克兰 白俄罗斯 波兰 立陶宛什么的 再往西一点的捷克斯洛伐克塞浦路斯 也想去 还有看小说最喜欢看 南北朝北京时期的 特别喜欢看北伐或者打西域有关的小说 ,,,,,2024-11-28T03:04:14,iPhone 11,2,3,0,,,2024-11-28 03:04:14,True
5105518144913477	,P2jyekCdD,想要一个玩具 比我大几岁的男的 长得还过得去那种 陪我玩就行了 我可以一个月跟他睡一次 就想要个玩具 🧸 ,,,,,2024-11-28T02:57:24,iPhone 11,0,0,0,,,2024-11-28 02:57:24,True
5105514109468737	,P2jrIDJfz,鹿鹿找个男模谈恋爱你们支持吗 跟鹿鹿一样大 ,,,,,2024-11-28T02:41:21,iPhone 11,2,6,0,,,2024-11-28 02:41:21,True
5105488475720334	,P2iMno07s,"沸羊羊在乌克兰参军视频流出@帅气bi逼人沸羊羊 
好想跑鹿啊的微博视频
 ",,,"https://f.video.weibocdn.com/o0/jfNqbsovlx08jVt078lW010412001FZu0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732790061&ssig=Wk4mkh2%2FEA&KID=unistore,video",,2024-11-28T00:59:30,微博视频号,0,1,0,,帅气bi逼人沸羊羊,2024-11-28 00:59:30,True
5105481700609543	,P2iBs2yzl,噜噜的晚饭 在杭州第一顿 ,,https://wx4.sinaimg.cn/large/9e6ea920gy1hw19ky2rx4j23b04eonpi.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000Bg9jQgx08jVr9zG7l0f0f0100mw2U0k01.mov,,2024-11-28T00:32:35,iPhone 15,0,0,0,,,2024-11-28 00:32:35,True
5105436790882418	,P2hr13Hyy,"上穷碧落下黄泉，生生世世不分离。
月亮代表我的xin ",,,,,2024-11-27T21:34:07,iPhone 15,2,2,1,,,2024-11-27 21:34:07,True
5105200895099487	,P2bixloBN,我的入坑图 谁懂 读小学的时候 在报刊杂志上看到这一张图 ,,https://wx2.sinaimg.cn/large/9e6ea920gy1hw0dbszrtnj20dw0agjs7.jpg,,,2024-11-27T05:56:46,iPhone 11,7,6,0,,,2024-11-27 05:56:46,True
5105139379601817	,P29HjEhS1,"回杭州了 到家了
 ",,,,,2024-11-27T01:52:19,iPhone 15,3,4,0,,,2024-11-27 01:52:19,True
