id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106009548526638	,P2wkOzMaq,忙碌的DDL、连轴转的会议，我们忘了休息，也忘了自己的健康，#职场人近敌在前，HPV感染早预防#忙碌的职场中给自己留一点时间，做自己的健康守护者#职场人无惧近敌HPV#毕竟职场不易，早预防早保护，未雨绸缪才能更安心在职场打怪升级！#HPV早知晓#,,,,,2024-11-29T11:30:04,微博  weibo.com,4056,0,1052,"职场人近敌在前，HPV感染早预防,职场人无惧近敌HPV,HPV早知晓",,2024-11-29 11:30:04,False,2347175691,陈陈和老余,5106002015556960	,P2w8FnjCo,"快节奏的社会环境，生活职场的双重压力日渐上升，总是因为工作太忙忽略了伴侣，计划好的约会一延再延，预约好的体检也一拖再拖…感情和健康都亮起了红灯，是时候重视起来啦！#职场人近敌在前，HPV感染早预防#直到老余一语惊醒梦中人，我才发现自己对于感情，对于健康都知之甚少，甚至不知道原来HPV感染的风险可能存在在我们身边。#HPV早知晓#如果你也正挣扎在职场和情感生活中艰难平衡，那么今天这条视频也许会对你有些帮助。#职场人无惧近敌HPV#想拥有生活美好，有个健康的身体很重要。健康需要防护，感情需要维护，所以姐妹们，支棱起来，保护好自己，确保身体健康才能事业顺利，毕竟我们大女人，事业和爱情全都要！ 
陈陈和老余的微博视频",,,"https://f.video.weibocdn.com/o0/aaYkfqb7lx08jUUoifte01041201mMJx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732880807&ssig=NvpzZ%2Fp4Hy&KID=unistore,video",,2024-11-29T11:00:08,微博视频号,7135,0,87446,"职场人近敌在前，HPV感染早预防,HPV早知晓,职场人无惧近敌HPV",,2024-11-29 11:00:08
5105725118613024	,P2oW3A8DK,"好舞不挑曲，绝对音感启动！#发现美好##微博影像年# 
放眼世间的微博视频
 ",,,"https://f.video.weibocdn.com/u0/GCWO7caggx08jWvzQ04g010412007LTf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732880807&ssig=x6mt2eC2MP&KID=unistore,video",,2024-11-28T16:39:51,微博视频号,2029,534,1023,"发现美好,微博影像年",,2024-11-28 16:39:51,True
5105680952592891	,P2nMPaSwP,"#杨洋旅拍真人秀#抓马得有点过分了！飞机上眼保健操出来的时候给我笑飞了，这脑洞我只能说：佩服！不过大家确实要注意用眼哦～ 
放眼世间的微博视频
 ",,,"https://f.video.weibocdn.com/u0/rpEtFPlBgx08jWjwCmg801041200764G0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732880807&ssig=6IxMmV1ZJC&KID=unistore,video",,2024-11-28T13:44:21,微博视频号,3065,1105,1051,杨洋旅拍真人秀,,2024-11-28 13:44:21,True
5105011497108659	,P26n3tPhN,"#服美役是怎么诞生的# 
头包脸、高颅顶、A4腰、面部折叠度、面部平整度、鼻基底凹陷...这些美貌的专业度词汇的诞生过程be like：#发现美好##微博影像年# 
放眼世间的微博视频
 ",,,"https://f.video.weibocdn.com/u0/j7DaoHhigx08jTn49lRe01041200Ck050E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732880807&ssig=F%2FI5R%2BKt4i&KID=unistore,video",,2024-11-26T17:24:10,微博视频号,2030,552,1032,"服美役是怎么诞生的,发现美好,微博影像年",,2024-11-26 17:24:10,True
5104985094226519	,P25GthJvF,#近八成患者无法管好高血压# 心脏杀手、脏器刺客、动脉硬化的隐形元凶...看了《2024年中国高血压防治指南》才知道高血压原来无处不在，2024就已经统计出2.7亿的高血压人群，血压你又在背刺我！ #入冬了如何管理高血压# 看了专业医生的访谈才意识到血压监测的重要性，血压昼高夜低，跟着我们的日常活动、三餐饮食、心理状态起起伏伏，很多时候血药造成的隐性伤害我们往往短期内难以察觉，传统的血压仪既不便携、操作也不轻松，监测血压成了健康日常生活的痛点！让血压防治轻松进入日常，便携又简单的24小时健康监测刻不容缓！,,"https://wx4.sinaimg.cn/large/78a14188ly1hvznyp2srvj20y01o1h82.jpg,https://wx3.sinaimg.cn/large/78a14188ly1hvznyq3xzyj215a1yjnpd.jpg,https://wx3.sinaimg.cn/large/78a14188ly1hvznyousqaj214w1hq12w.jpg,https://wx2.sinaimg.cn/large/78a14188ly1hvznyp3925j20gt0zi4ig.jpg,https://wx1.sinaimg.cn/large/78a14188ly1hvznyot608j20p00xc78x.jpg,https://wx4.sinaimg.cn/large/78a14188ly1hvznyosysvj20u014344d.jpg",,,2024-11-26T15:39:15,微博网页版,2549,1106,849,"近八成患者无法管好高血压,入冬了如何管理高血压",,2024-11-26 15:39:15,True
5103154402429088	,P1k3KabUQ,"#李行亮梦想中的场景# 
晚上给老婆弹了我写的新歌，，，老婆手机都不玩了停下笑着看着我捏🥺🥺🥹#发现美好##微博影像年# 
放眼世间的微博视频
 ",,,"https://f.video.weibocdn.com/u0/LSqJkIMhgx08jLc411C801041200dndf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732880807&ssig=kc6IHGbY3X&KID=unistore,video",,2024-11-21T14:24:44,微博视频号,2041,547,1027,"李行亮梦想中的场景,发现美好,微博影像年",,2024-11-21 14:24:44,True
5102463683920221	,P125GgrPn,"王石田朴珺官宣成为传祺新能源E9超级快充版首位车主！新车实现“三大升级、两大传承”，即升级了独有的超级快充技术、旗舰级的奢华座舱体验和智能化感受，传承了安全和动力两大同级独有优势。让王石感叹：E9满足了我的所有需求！#王石直呼咖啡没喝完电都充好了# 
放眼世间的微博视频
 ",,,"https://f.video.weibocdn.com/o0/2qpYNGgMlx08jI4U23Ze01041200YVuG0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732880807&ssig=9%2BWcCp7rZI&KID=unistore,video",,2024-11-19T16:40:04,微博视频号,4214,1113,1052,王石直呼咖啡没喝完电都充好了,,2024-11-19 16:40:04,True
5102386284858399	,P104QknTh,"#沉浸式圣诞家装# 
过了万圣就是年#发现美好##微博影像年# 
cr: Carissa Nunez 
放眼世间的微博视频
 ",,,"https://f.video.weibocdn.com/u0/oVLwXCxpgx08jHOsfgFG01041201dAL40E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732880807&ssig=HisuQ%2FFajh&KID=unistore,video",,2024-11-19T11:32:31,微博视频号,2049,560,1031,"沉浸式圣诞家装,发现美好,微博影像年",,2024-11-19 11:32:31,True
