id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5103840919552920	,P1BV1E59m,怎么这么好听,,,,,2024-11-23T11:52:42,iPhone 16 Pro Max,7,0,0,,,2024-11-23 11:52:42,False,6935399164,BillboardBot,5103683426322460	,P1xP0qwLa,"【🚨流行速递】SZA 助阵 Kendrick Lamar 无预警空降全新专辑『GNX』合作收录曲「luther」正式发行，在线试听: 
BillboardBot的微博视频
 ",,,"https://f.video.weibocdn.com/u0/ToSzmKDGgx08jNwzfmvS01041200jQ9I0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732804676&ssig=uEiS4XOI4U&KID=unistore,video",,2024-11-23T01:26:53,微博视频号,626,48,231,,,2024-11-23 01:26:53
5103651792098042	,P1wZZ8NNo,最爱的两个女人,,,,,2024-11-22T23:21:11,iPhone 16 Pro Max,5,0,0,,,2024-11-22 23:21:11,False,6935399164,BillboardBot,5093146784435459	,OD5aKiBRF,据 Billboard 杂志最新采访透露，Olivia Rodrigo 曾于去年参加观看 Beyoncé 全球巡演『RENAISSANCE World Tour』洛杉矶SoFi站。 ,,"https://wx2.sinaimg.cn/large/007zme8Qgy1huxwxfmhtbj30zn17ygsb.jpg,https://wx3.sinaimg.cn/large/007zme8Qgy1huxwxeen09j32j135skjl.jpg",,,2024-10-24T23:38:02,,287,20,4,,,2024-10-24 23:38:02
5103650888487408	,P1wYwzBXG,我去布鲁克林！！,,,,,2024-11-22T23:17:36,iPhone 16 Pro Max,1,3,0,,,2024-11-22 23:17:36,False,6935399164,BillboardBot,5103649999294344	,P1wX5CZSM,Charli xcx 官宣『BRAT 2025 Arena Tour』体育馆巡演: ,,"https://wx3.sinaimg.cn/large/007zme8Qgy1hvvf7senb9j30u011itbu.jpg,https://wx3.sinaimg.cn/large/007zme8Qgy1hvvf7tqzakj31kw118wm0.jpg",,,2024-11-22T23:14:04,,532,29,25,,,2024-11-22 23:14:04
5103642996637875	,P1wLNrQOv,大家要和我一样多多运动呀^_^ ,,https://wx2.sinaimg.cn/large/006JlK2agy1hvveewpsysj30zk1bfk3m.jpg,,,2024-11-22T22:46:13,iPhone 16 Pro Max,42,14,0,,,2024-11-22 22:46:13,True
5103605336769190	,P1vN3soYu,我最近每两天都做一个春梦，对象稀奇百怪的，我还梦到一人偷摸我，我发现在梦里偷摸我我有种很爽的感觉，现实生活这种法治社会就没法体验了 ,,,,,2024-11-22T20:16:35,iPhone 16 Pro Max,16,6,0,,,2024-11-22 20:16:35,True
5103569938419567	,P1uRXzkjt,今年最爱的九首新歌❤️✨今年好听的歌好多好多 ,,"https://wx2.sinaimg.cn/large/006JlK2agy1hvv5zq76gkj30mu0vk10y.jpg,https://wx1.sinaimg.cn/large/006JlK2agy1hvv5zuey30j30mj0vqaf4.jpg,https://wx1.sinaimg.cn/large/006JlK2agy1hvv5zf22moj30mc0wmjvm.jpg,https://wx4.sinaimg.cn/large/006JlK2agy1hvv5zz8ue8j30mw0vo77k.jpg,https://wx1.sinaimg.cn/large/006JlK2agy1hvv5zj1rz7j30nk10vjw8.jpg,https://wx3.sinaimg.cn/large/006JlK2agy1hvv609vos0j30m20uyn5y.jpg,https://wx4.sinaimg.cn/large/006JlK2agy1hvv60jbzupj30mg0vkjwi.jpg,https://wx3.sinaimg.cn/large/006JlK2agy1hvv60p2z2yj30mg0xl0wv.jpg,https://wx2.sinaimg.cn/large/006JlK2agy1hvv60uxsumj30mg0vqwk9.jpg",,,2024-11-22T17:55:56,iPhone 16 Pro Max,87,11,0,,,2024-11-22 17:55:56,True
5103527141048533	,P1tKW4oLP,"这条说的这个博主 （姑且算你是吧）应该是看到这条了，每次见到我变得特别客气特别刻意，我想说亲爱的你放心吧我不会骂你或者撕你的，首先因为我很希望世界和平大家开开心心的其次我觉得你档次特别低我真不想和你吵
 ",,https://wx2.sinaimg.cn/large/006JlK2agy1hvv13riesgj310o0ilgrc.jpg,,,2024-11-22T15:05:51,iPhone 16 Pro Max,66,21,1,,,2024-11-22 15:05:51,True
5103495824802161	,P1sWqk9gd,昨天做春梦梦见了和一个朋友那个了，梦里完全投入享受愉悦，但现实生活中是那种根本无法激起兴趣的关系，我是不是碰到多元宇宙了 ,,,,,2024-11-22T13:01:25,iPhone 16 Pro Max,33,24,0,,,2024-11-22 13:01:25,True
5103493990322007	,P1sTt1lLF,"我叫雕刻姐算了，雕刻半年了啥也没有
 ",,https://wx2.sinaimg.cn/large/006JlK2agy1hvuxasmxstj310o27onlx.jpg,,,2024-11-22T12:54:08,iPhone 16 Pro Max,12,12,0,,,2024-11-22 12:54:08,True
5103493212017139	,P1sSd8sKv,去科切拉前我必须好好雕刻自己的身材。 ,,,,,2024-11-22T12:51:03,iPhone 16 Pro Max,4,1,0,,,2024-11-22 12:51:03,True
5103491036481065	,P1sOHrc1j,不小心用看那种的x账号关注了Elon Musk和Trump。谁懂那种美美刷到一半出现这两个老白男的下头感 ,,,,,2024-11-22T12:42:24,iPhone 16 Pro Max,10,2,0,,,2024-11-22 12:42:24,True
5103470472334802	,P1shx9No6,怎么越听越好听啊🥰🥰🥰 ,,https://wx2.sinaimg.cn/large/006JlK2agy1hvuullxsh4j310o10j7h0.jpg,,,2024-11-22T11:20:41,iPhone 16 Pro Max,13,5,0,,,2024-11-22 11:20:41,True
5103256591928680	,P1mIz85JK,我大数据为什么和胖哥李小鹿的一样啊 可以不要这样吗 ,,https://wx2.sinaimg.cn/large/006JlK2agy1hvu61b3urgj310o1jcdpu.jpg,,,2024-11-21T21:10:48,iPhone 16 Pro Max,15,3,0,,,2024-11-21 21:10:48,True
